issue_id,severity,category,short_title,reproducibility,impact,evidence
CONTEXT-001,P0,context,follow-up loses topic and format,1/1,core multi-turn trust,"browser B-04"
UI-STATE-001,P1,frontend,stale circuit artifact in text task,observed,wrong result interpretation,"browser B-03"
E2E-001,P1,api,chat simple task fails,1/1,public API basic question unavailable,"task_d04bfd4716aa401d97a496e9a0afb22c"
ROUTER-001,P1,router,route/planner capability mismatch,1/1,basic task blocked by validation,"task_562fe99b68dc46a5a8915a3099b4ce10"
RAG-001,P1,rag,no-match query returns unrelated course hits,1/1,wrong evidence grounding,"knowledge search random query"
RESEARCH-001,P1,research,no-match query returns unrelated papers,1/1,misleading research candidates,"research search random query"
TASK-CTRL-001,P1,task-control,cancel convergence delayed,1/1,stop semantics and resource usage,"task_3149e586a50f4e34bbc96950fb18f281"
READINESS-001,P1,release,all exposed scenarios not production-ready,9/9,release expectation mismatch,"scenarios/readiness"
ARCH-001,P1,architecture,legacy actual UI vs React source,confirmed,maintenance and test drift,"http_app.py routes"
PERF-001,P2,observability,failure waterfall zero durations,observed,slow RCA,"debug execution traces"
UX-001,P2,ux,internal runtime language and mixed status,observed,user confusion,"browser DOM"
DISCOVERY-001,P2,discovery,backend/UI scenario count mismatch,confirmed,features hard to find,"config plus workspace"
SESSION-001,P2,session,duplicate empty session list entries,observed,history management friction,"browser DOM"
FILE-001,P2,file,content endpoint requires user_id,confirmed,API sharp edge,"HTTP 422"
HEALTH-001,P2,health,available vs live semantic mismatch,confirmed,wrong availability signal,"models/health plus chat failure"
